Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
LED24,FP_LED_SK6812MINI_E,57.08mm,52.15mm,57.08mm,52.15mm,59.805mm,51.4mm,B,180,SK6812
LED25,FP_LED_SK6812MINI_E,76.12mm,52.15mm,76.12mm,52.15mm,78.845mm,51.4mm,B,180,SK6812
LED26,FP_LED_SK6812MINI_E,18.98mm,33.09mm,18.98mm,33.09mm,21.705mm,32.34mm,B,180,SK6812
LED27,FP_LED_SK6812MINI_E,38.02mm,33.09mm,38.02mm,33.09mm,40.745mm,32.34mm,B,180,SK6812
LED28,FP_LED_SK6812MINI_E,57.08mm,33.09mm,57.08mm,33.09mm,59.805mm,32.34mm,B,180,SK6812
LED29,FP_LED_SK6812MINI_E,76.12mm,33.09mm,76.12mm,33.09mm,78.845mm,32.34mm,B,180,SK6812
R1,CHIP_0402,9.7038mm,22.2323mm,9.7038mm,22.2323mm,9.1938mm,22.2323mm,T,0,10kohm
R2,CHIP_0402,47.1843mm,90.5143mm,47.1843mm,90.5143mm,46.6743mm,90.5143mm,T,0,5.1kohm
R3,CHIP_0402,47.5554mm,87.5455mm,47.5554mm,87.5455mm,47.0454mm,87.5455mm,T,0,5.1kohm
SW1,FP_Encoder_EC11,18.2607mm,76.125mm,11.975mm,78.625mm,11.975mm,78.625mm,T,0,RotaryEC11
SW3,FP_SW_Choc_V2,38.025mm,77.6417mm,38.025mm,76.125mm,38.025mm,82.025mm,T,0,KeySwitch
SW4,FP_SW_Choc_V2,57.075mm,77.6417mm,57.075mm,76.125mm,57.075mm,82.025mm,T,0,KeySwitch
SW5,FP_SW_Choc_V2,38.025mm,20.4917mm,38.025mm,18.975mm,38.025mm,24.875mm,T,0,KeySwitch
SW6,FP_SW_Choc_V2,57.075mm,20.4917mm,57.075mm,18.975mm,57.075mm,24.875mm,T,0,KeySwitch
SW7,FP_SW_Choc_V2,76.125mm,20.4917mm,76.125mm,18.975mm,76.125mm,24.875mm,T,0,KeySwitch
SW8,FP_SW_Choc_V2,18.975mm,58.5917mm,18.975mm,57.075mm,18.975mm,62.975mm,T,0,KeySwitch
SW9,FP_SW_Choc_V2,38.025mm,58.5917mm,38.025mm,57.075mm,38.025mm,62.975mm,T,0,KeySwitch
SW10,FP_SW_Choc_V2,57.075mm,58.5917mm,57.075mm,57.075mm,57.075mm,62.975mm,T,0,KeySwitch
SW11,FP_SW_Choc_V2,76.125mm,58.5917mm,76.125mm,57.075mm,76.125mm,62.975mm,T,0,KeySwitch
SW12,FP_SW_Choc_V2,18.975mm,39.5417mm,18.975mm,38.025mm,18.975mm,43.925mm,T,0,KeySwitch
SW13,FP_SW_Choc_V2,38.025mm,39.5417mm,38.025mm,38.025mm,38.025mm,43.925mm,T,0,KeySwitch
SW14,FP_SW_Choc_V2,57.075mm,39.5417mm,57.075mm,38.025mm,57.075mm,43.925mm,T,0,KeySwitch
SW15,FP_SW_Choc_V2,76.125mm,39.5417mm,76.125mm,38.025mm,76.125mm,43.925mm,T,0,KeySwitch
TP1,FP_TouchPad,18.975mm,18.975mm,18.975mm,18.975mm,18.975mm,18.975mm,T,0,CapTouchPad
U1,FP_SOT_23_6,47.55mm,84.75mm,47.55mm,84.75mm,46.6mm,85.8875mm,B,270,USBLC6
U2,SOT5P95X290X160N,25.5136mm,26.8268mm,25.5136mm,27.0543mm,24.5636mm,25.9168mm,T,90,AP2112K_3V3
U3,QFP50P900X900X160_48N,7.55mm,23.55mm,7.55mm,23.55mm,10.3mm,19.3875mm,B,90,STM32F072CBT6
Y1,FP_Crystal_3225,8.05mm,16.05mm,8.05mm,16.05mm,9.15mm,15.25mm,B,180,Crystal8MHz
